year,date,day_of_the_week,bank_holiday,country,complete_date,day_of_the_year,today,date_has_passed,closest_bh_date
2024,01-Apr,Monday,Easter Monday,Ireland,2024-04-01,92,2023-01-30,FALSE,2023-02-06
2024,06-May,Monday,May Day,Ireland,2024-05-06,127,2023-01-30,FALSE,2023-02-06
2024,03-Jun,Monday,June Bank Holiday,Ireland,2024-06-03,155,2023-01-30,FALSE,2023-02-06
2024,05-Aug,Monday,August Bank Holiday,Ireland,2024-08-05,218,2023-01-30,FALSE,2023-02-06
2024,28-Oct,Monday,October Bank Holiday,Ireland,2024-10-28,302,2023-01-30,FALSE,2023-02-06
2024,25-Dec,Wednesday,Christmas Day,Ireland,2024-12-25,360,2023-01-30,FALSE,2023-02-06
2024,26-Dec,Thursday,St Stephen's Day,Ireland,2024-12-26,361,2023-01-30,FALSE,2023-02-06
2025,01-Jan,Wednesday,New Year's Day,Ireland,2025-01-01,1,2023-01-30,FALSE,2023-02-06
2025,03-Feb,Monday,St Brigid’s Day,Ireland,2025-02-03,34,2023-01-30,FALSE,2023-02-06
2025,17-Mar,Monday,Saint Patrick's Day,Ireland,2025-03-17,76,2023-01-30,FALSE,2023-02-06
2025,21-Apr,Monday,Easter Monday,Ireland,2025-04-21,111,2023-01-30,FALSE,2023-02-06
2025,05-May,Monday,May Day,Ireland,2025-05-05,125,2023-01-30,FALSE,2023-02-06
2025,02-Jun,Monday,June Bank Holiday,Ireland,2025-06-02,153,2023-01-30,FALSE,2023-02-06
2025,04-Aug,Monday,August Bank Holiday,Ireland,2025-08-04,216,2023-01-30,FALSE,2023-02-06
2025,27-Oct,Monday,October Bank Holiday,Ireland,2025-10-27,300,2023-01-30,FALSE,2023-02-06
2025,25-Dec,Thursday,Christmas Day,Ireland,2025-12-25,359,2023-01-30,FALSE,2023-02-06
2025,26-Dec,Friday,St Stephen's Day,Ireland,2025-12-26,360,2023-01-30,FALSE,2023-02-06
